sample_id,sample_role,source_train_row,example_hash,gold_label_ids,gold_labels,gold_cardinality,rater_count,unclear_count,neutral_votes,max_emotion_votes,same_rater_coselection_count,aggregation_only,derived_labels_match
EXP-035-S032,residual_fill,32173,5eedd73763fa9c8e5fda7126c31cc8be3a154ae58e78c2817f0c5ad56b2de132,1|27,amusement|neutral,2,5,0,3,2,0,True,True
EXP-035-S033,residual_fill,12432,4e3c44432d269ca1eb64463002a8814e64a92a17fa321303a947e6cc5c1d4723,1|27,amusement|neutral,2,5,0,2,2,0,True,True
EXP-035-S034,residual_fill,42398,ebe756deff1b0cac7394b408fd16661ae70aaf949fa62ea62f3413ed0345a2c8,10|27,disapproval|neutral,2,5,0,2,2,0,True,True
EXP-035-S035,residual_fill,42594,4f8bbdfa0aea8942e98dbdc047135e24bca625e70bdedefc354b51b5fda36553,15|27,gratitude|neutral,2,4,0,2,2,0,True,True
EXP-035-S036,residual_fill,18749,6571afe7ce85352ca931736a56dee02a2688a1fe8238f6c2e63e2cbbad5e7f3d,4|27,approval|neutral,2,5,0,3,2,0,True,True
EXP-035-S037,residual_fill,43168,ff19c0fd1d1dc24a156cc1c359b1ba9f4c1f92b99e55d1955950f24d5294e38c,18|27,love|neutral,2,5,0,2,2,0,True,True
EXP-035-S038,residual_fill,43125,c429bd6c1a73eabc83f05ce35a207f71f53c422cd0a89ef8201c930185c931a1,7|27,curiosity|neutral,2,5,0,2,2,0,True,True
EXP-035-S039,residual_fill,20491,5c6b92882ec2745c7f7c01d02de2208da1d4472355019271e8efdbbf9550c93e,0|27,admiration|neutral,2,5,0,2,2,0,True,True
EXP-035-S040,residual_fill,18856,56cc29ecf237417bf23cccacd18c4dcbe16085823db06a2c5879ec0a96994dcf,4|27,approval|neutral,2,5,0,2,2,0,True,True
EXP-035-S041,residual_fill,40035,7c1979099071334f9455a8f1f9e39ec6dea3f305c918fe335ecc362b00b41a7c,6|27,confusion|neutral,2,5,0,2,2,0,True,True
EXP-035-S042,residual_fill,35091,1c96712f7a42296f3352b0fa6ee93252e8f7c13a388140df801d45c597863461,25|27,sadness|neutral,2,5,0,3,2,0,True,True
EXP-035-S043,residual_fill,4031,f5beb1402cf2efc7bbac7a381de06e96dbd5b88eced90ed66eaed4306ff2dd61,2|27,anger|neutral,2,5,0,2,2,0,True,True
EXP-035-S044,residual_fill,35208,b9883c825f546c9420a672c5bf69c086a0f3c01e140ceea6d5f5e43233e7aa36,8|27,desire|neutral,2,5,0,2,2,0,True,True
EXP-035-S045,residual_fill,17522,b91d0d0c011cc37df29cd41acc6d5298cfb97816395a207e46f5d4496bf2290f,7|27,curiosity|neutral,2,5,0,2,2,0,True,True
EXP-035-S046,residual_fill,30127,36a40dc063963c414110c11835b437e7d4f626b356424946efe872ac8d6cc484,5|27,caring|neutral,2,5,0,2,2,0,True,True
EXP-035-S047,residual_fill,42539,6ab206602432dc7dfd7b0864b0e94a635a77c2e6d7be546b8efcf885a725489b,9|27,disappointment|neutral,2,5,0,2,2,0,True,True
EXP-035-S048,residual_fill,33385,1d04267669ce65ba5b67096b41fa161f42862873f213b358255c7444b5946c48,22|27,realization|neutral,2,5,0,2,2,0,True,True
