source_train_row,example_hash,gold_label_ids,gold_labels,gold_cardinality,rater_count,unclear_count,neutral_votes,max_emotion_votes,same_rater_coselection_count,aggregation_only,derived_labels_match
822,6fd59b76bc8c37682758b429f4c4eb59ebfcee472c74797b9d80e4847b420348,10|27,disapproval|neutral,2,5,0,2,2,0,True,True
941,6efc64edb7ff3605abb8f5fd8f8bdf9f049aa93cb0404b64d5374ac7a688933a,1|27,amusement|neutral,2,5,0,2,2,0,True,True
943,e817e8c2382513c8ba2fc553fe0ac97fe4f6893233f22288ed65e22657c531a4,4|27,approval|neutral,2,5,0,2,2,0,True,True
1050,cc3b2ab70cae186d007bf3e918ef562446f23978f2d623e32dd21815424a0ead,9|27,disappointment|neutral,2,5,0,2,2,0,True,True
1107,eaa3b85d2e8eb6a1e2bc0454d55a47d00169af484b839f7b9e843a2ca49ebbe0,22|27,realization|neutral,2,5,0,3,2,0,True,True
1120,082d4efa18ae1ce66fe950266341db002ca96572d4557e79729ec93d9f913487,5|27,caring|neutral,2,5,0,2,2,0,True,True
1146,02a5c8ff685a972c11e8ffb6eb6ec37ad73bcf0e4edcc837198bc0b93617e70b,2|27,anger|neutral,2,4,0,2,2,0,True,True
1237,c0dac5a90699cd95c5c13fc0b467fc0501d348ad2a9c556bc5d5be1b564bc86d,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
1248,a44098a4e85635c57e53763e51adc2d48cfdc6414da58c80c814720923fc38a7,9|27,disappointment|neutral,2,5,0,2,2,0,True,True
1273,c7d53b9f6455ed870a1dee3f05e1b652ab8dc26c435262ce2c0d5502a837c568,10|27,disapproval|neutral,2,5,1,2,2,0,True,True
1275,3430b4f0f4e8dc30ed0402cc4b7cb9bc47733a7c477f163ce82cc926b3e3d913,0|27,admiration|neutral,2,5,0,2,2,0,True,True
1290,8b47de65e9b632f0995749f3c632cc0b1cbf41f6b2cfdc675977a9ff4515be71,4|27,approval|neutral,2,5,0,2,2,0,True,True
1330,5d7c246697a48771be9ea871b0037fc64c151f2b7659d81bf7c36cae8e5b7da1,4|27,approval|neutral,2,5,0,2,2,0,True,True
1387,b451e2704a8cd6f288bb87273c3771fb5bbf2bd40b86b1b4e6cac12059814d6a,6|7|27,confusion|curiosity|neutral,3,5,0,2,2,0,True,True
1408,d043861a98f9d448ae8dada7816873ce6c34fb32c95c53208a2beef55e3bf086,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
1484,0d576f37e054d9db2cabb93c0db18d033d305ea064ea6ce37a8a3fd702c16d27,4|27,approval|neutral,2,5,0,2,2,0,True,True
1499,777e774f8948bef2160a28f630058fd5e4c54825de8f6e8a8fa769cabf765161,15|27,gratitude|neutral,2,5,0,2,2,0,True,True
1539,5a304846aa2c6580603e1f0d71e97ed5e23af5ec1fb607b962e481af969dfdec,4|20|27,approval|optimism|neutral,3,5,0,2,2,0,True,True
1546,e830b138794edc75b69721d48af9cc52c14bb929a740444f9f5a7dced90acf2a,5|27,caring|neutral,2,5,0,2,2,0,True,True
1555,8b5f17d8f6f677f4b4bcab67949e1b74e9454aad65b854eb09951420b79aaf1a,10|27,disapproval|neutral,2,5,0,2,2,0,True,True
1602,d5a4912637bc9d2eab4fcb53149feff1de7ea745fdd70ca597a5af54d2561496,11|27,disgust|neutral,2,5,0,2,2,0,True,True
1632,a3bb5b65556bbf966d2817e3c54308ed5debca8759d2ef8dce199c6c8b648693,10|27,disapproval|neutral,2,5,0,3,2,0,True,True
1676,b3ae924841cf93eb1b749ac2c69418d4652384499d8f13ecb061e9aa4672d76a,25|27,sadness|neutral,2,5,0,2,2,0,True,True
1704,dc9a839acedfc2aadec66fe1c5c014ae6b6aad34c1a69013dd8de4f1d8e39b44,7|27,curiosity|neutral,2,5,1,2,2,0,True,True
1726,0aa68d3e8b89a376c40a14af2a9832f999a665020314baa076e53c4c05d95dfe,7|27,curiosity|neutral,2,5,0,2,2,0,True,True
1740,3d7bfdce7ca0571529e0497b2a98c919b746158684db8d4c86af7f8d678309cd,7|27,curiosity|neutral,2,5,0,2,2,0,True,True
1771,36fe2f7f50a03abb2a2284a653f5f9f0fca1dca19590e57f09a366c29766895f,4|27,approval|neutral,2,5,0,2,2,0,True,True
1792,5d990fe01ca9631f506f31dc7337cadaf9852c3bd5ffab8d196d977525ecf6aa,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
1808,4efc24c5939efef96c977476693dc8cc515ea9c53fb52e04077a7100aa97d7bb,20|27,optimism|neutral,2,5,0,2,2,0,True,True
1828,c43b72a25766f853c0edb33e28ac473609082f6cecfa9ff50ecee2c7cf6fca98,26|27,surprise|neutral,2,5,0,2,2,0,True,True
1846,2a302ed0d7f75e2ef27bed5655aad6e69f34de73fcdcfad2343dde4eb0f72869,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
1889,880a54d56d5bb1b225a38048055b2d50d610f3b546d77adaa54ad993967cb03d,20|27,optimism|neutral,2,4,0,2,2,0,True,True
1911,8e03d3cdf5fb8e860f94872408b5c68eb0b54fa9274b4c5dd0d17ed1ef5c2b7a,1|27,amusement|neutral,2,5,0,2,2,0,True,True
1924,fc522e83401531ff8d810583fd0d3cada0076cba865a35012651e82cb1bbd238,20|27,optimism|neutral,2,5,0,2,2,0,True,True
1933,0789e4f2006a7ee8d85734bb50c801442f453cbf52e959fb1359203f1898501a,12|27,embarrassment|neutral,2,5,0,2,2,0,True,True
1943,2612d2718c79c6e39364c450126f9bcf9a488f14044ebc73e2a61884eabda4b3,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
1953,eccc884938b19e1cd416571d248370d934b49d730fed9b815e4725f540efc72a,4|27,approval|neutral,2,5,0,3,2,0,True,True
1967,d581bae41156ff429bf5265cb37248f6cab2b16f6943ac3a0b75a51606a64960,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
1978,95f1a6452d9cbb631c5f4fb6d3c459e1ae9f7e4f84f4d99ad7e07b4ad0f69c61,4|27,approval|neutral,2,5,0,2,2,0,True,True
2028,2470ac1df123daf4004931fdd98c7a8b05c6fa74e9115ec5224691e00a4bdd10,8|27,desire|neutral,2,5,0,2,2,0,True,True
2035,cb42624890799da111819c0314b036fe1273e3651773dee7060f7fe67680ec3c,14|27,fear|neutral,2,5,0,2,2,0,True,True
2043,d8e9410f00ebdffb86900d98a4b9893d5e8e7cc6fec17985844fef65f6387506,7|27,curiosity|neutral,2,5,0,2,2,0,True,True
2078,1b2b060e77197f6fa76e24ad0ccb0e1cf68379baa0e105cfb1596dc0b51e4951,3|9|27,annoyance|disappointment|neutral,3,5,0,2,2,0,True,True
2096,160fe9ca384616d8630aeb26e0492072775a2c2a0cc6498a4c537b3a74903cad,4|27,approval|neutral,2,5,0,3,2,0,True,True
2115,7257ccca9b514bb3ff408d056a6523e2c6bde8679e4c5756483197edc57f2f8d,7|27,curiosity|neutral,2,5,0,2,2,0,True,True
2159,4c28821e86d0795d61497de97b5fff4167159afbe337d7d8c30d515fed1cb5c9,2|27,anger|neutral,2,5,0,2,2,0,True,True
2170,303a768afed6cc592feb5872967dd1b9f8bb28ac0e8732b33030e5a872a54fa3,10|27,disapproval|neutral,2,5,0,2,2,0,True,True
2184,97f7d424ec506ec6d4e6e70a36d3a7301139bde8ef78172accd67e8013140f66,1|27,amusement|neutral,2,5,0,2,2,0,True,True
2185,0c24851fc6ab183b68acbc5836a6d454147711d686e81417fa4674abf5b461d2,9|27,disappointment|neutral,2,5,0,2,2,0,True,True
2201,c92187eecc13952b0f9dd8b71e50ce20d27e37ce810b8a36c343330299853380,26|27,surprise|neutral,2,5,0,3,2,0,True,True
2240,1d4a98e5b7810cb5fffb906e54c56943f03339b75446edc90a161da31d9d2406,9|27,disappointment|neutral,2,5,0,2,2,0,True,True
2256,17ab9977ee97116f009e26717b7c6816b5db1a85d5d10a1c350e272165dc3d19,10|27,disapproval|neutral,2,4,0,2,2,0,True,True
2309,50f8044f5561a3b6ceb510e6072bce878165126af31b222850ff48abd914dcee,17|27,joy|neutral,2,5,0,2,2,0,True,True
2322,dd6a74cc550f2719330e7ec71093c6ea37ae1110c4c4fc90cb1fb7ac7902d40b,25|27,sadness|neutral,2,5,0,2,2,0,True,True
2353,05af43e47deea7f36aa31ae9d5a501c8ed093fc832e386f38d6c6ab43a7dbbab,4|27,approval|neutral,2,5,1,2,2,0,True,True
2372,149ae48e93de73ccd0d72a00601327fcca6e677316c033122ce01858e76507cd,9|27,disappointment|neutral,2,5,0,2,2,0,True,True
2388,49730bb5a9948c419d5d65609b0da546d4c30ca2fb93c034fdcebd86e7067465,20|27,optimism|neutral,2,5,0,2,2,0,True,True
2469,d6ece69a5464a785d1dddfa8cfb6edf34194325b288588f5b0b70e676522ed85,11|27,disgust|neutral,2,5,0,3,2,0,True,True
2476,a6b8d1e198ab7e3deb1d166bffe2844bdea7d6c9d7b87b5828216184d3beb9b0,4|27,approval|neutral,2,5,0,2,2,0,True,True
2502,e23fe1e2f8900741e33ca9e488c7652611de41a8a104bbdd8d78e723b309a89c,2|27,anger|neutral,2,5,0,3,2,0,True,True
2510,66dc7139d1a4cda474e89fef7b85e9b18fb7522999a7d94042a72671662af8a0,9|27,disappointment|neutral,2,5,0,2,2,0,True,True
2518,f694c2def1272933969e0f4770616a81852b355b9b3c0cfff8c9ed4faa776929,4|27,approval|neutral,2,5,0,2,2,0,True,True
2534,eafdaefe30b0968b78550d58f7b2d82054bd4a5b4b0ef7affa424e52bed0c585,2|27,anger|neutral,2,5,0,3,2,0,True,True
2610,0291a7d1169e0c4aa553d0429c02483875ebc69666bcfd08aff22a41ad10c8fd,2|27,anger|neutral,2,5,0,2,2,0,True,True
2627,151e1633a7bf1cd71ea58628226ec25688182422edcb82533d625cfa090a42c7,0|27,admiration|neutral,2,5,0,2,2,0,True,True
2636,1d45e087c8bff1ed186e193f694de98e3719eaabbf1130ea94dd03bfbdd8723d,4|27,approval|neutral,2,5,0,3,2,0,True,True
2654,a394601072cdadbf17871a75e4ce62b4e579e6a59cf4f10aa8e50aa196af71f8,4|27,approval|neutral,2,5,0,2,2,0,True,True
2698,4912e7b749b2019893149cb09cda4905e914987b40418a7a921dd153a11a0729,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
2734,71a8cac1e2535ded3280eaecc7ce2303ce7d0c20ef6c1ffc63bcaffaa2057870,4|27,approval|neutral,2,5,0,3,2,0,True,True
2793,88b31a0477131e3633a5ecd63fab7edc28d862710c63612a3868c5c228dcd5c1,6|7|27,confusion|curiosity|neutral,3,5,0,3,2,0,True,True
2851,078b246b5cba1831635e57d2d9f3e46d7c0415bab3e847f29df9c295c9eab0bb,4|27,approval|neutral,2,5,0,2,2,0,True,True
2856,6502d1c6488a47b921379a401931a31b261091b625f6059b25467a6d40e3e79a,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
2925,1ebab6616782657bf0478dcbde4488719e42a57897c8b36287882eec6372e9fe,7|27,curiosity|neutral,2,5,0,2,2,0,True,True
2936,ef94f0b85a8fcaa9cae60c787f2bb21f0af9113ddf66f01dbfdc5538b3ae5220,22|27,realization|neutral,2,5,0,3,2,0,True,True
2976,b1be976537657873c78767759eb47d0b3a43163befb9c507c6061e89f66e0247,9|27,disappointment|neutral,2,5,0,3,2,0,True,True
3011,dff5f567458c3a9e9e304d50fdf530b8a9af041f31ea8a74801cdfeed508e545,18|27,love|neutral,2,5,0,2,2,0,True,True
3054,a42735ab9f422ace75faf60613e4eaee17b479021f20be3a46675ae22608f981,22|27,realization|neutral,2,5,0,2,2,0,True,True
3074,5ab9e6bfc3085b6b58d9b367628dd1bc1b3582df80559f6ff4236d7c0859eb40,20|27,optimism|neutral,2,5,0,2,2,0,True,True
3079,2ff151c493ecdebb74a97e500bfa90b9fd0b0c8028bdc638f57cdf1af8be505c,0|27,admiration|neutral,2,5,0,2,3,0,True,True
3096,5924a677ee3a06584e0c6136920414b92e66b2b45bfca7aec97c38e69c30e56c,25|27,sadness|neutral,2,5,0,2,2,0,True,True
3128,64ce04650aabcd04fef69ca0cc81fd224c07b55cf541ad6bc832234248db937e,6|27,confusion|neutral,2,5,0,3,2,0,True,True
3163,669cad10d356ab6efab59349e75b43e118f20c212ed9b2be9279e410e9177768,13|27,excitement|neutral,2,4,0,2,2,0,True,True
3196,d3ae907c60df11e24c85eada13318d38a587241b151191540780fec00a5af11e,6|27,confusion|neutral,2,5,0,2,2,0,True,True
3283,096bc5d9fb7a7b469ef03f7b3844d180149a6bb8378477802a3c9e2d473ed187,6|27,confusion|neutral,2,5,0,2,2,0,True,True
3295,b3f8b1860779dbd99b47b2cb9d6b0905bfb65bda9d5747886eb19b3bc98599ee,2|27,anger|neutral,2,5,0,3,2,0,True,True
3297,9c765ba080f26756b5894979b1466416107978ff95caabe44ea60016eb11a8fe,3|27,annoyance|neutral,2,4,0,2,2,0,True,True
3316,61b4316c8c3df5ee1182b311048d02205cc98412b08dce5fbae8f9798a7059f4,2|11|27,anger|disgust|neutral,3,5,0,2,2,0,True,True
3322,d2fe55880b10c2ed66c136368a6c4374f4ee357d36f60069162df35bf8e651cd,22|27,realization|neutral,2,5,0,2,2,0,True,True
3341,1fed86c70b0c84ba3710f43606d28e036b90c7a5dbb847b43c10ec2644b884fc,2|11|27,anger|disgust|neutral,3,5,0,2,2,0,True,True
3396,b47f97c2b646139bd1567d36277435bed896b5019e80129ceff9afa9b9f5055b,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
3448,326d64ff7ab602bdfb63ce127520f2e4ffc375554cb019fd623d92d5a97c31c8,13|27,excitement|neutral,2,5,0,2,2,0,True,True
3466,2407d490594a9657f5fb3bea3834315c82de7daca3c075b7746e2f34f14d08f1,1|27,amusement|neutral,2,5,0,2,2,0,True,True
3486,9fec97fc7b995ee153ddb9163ead4769d89c0b10f3fb7cc9a7d7b502354959cb,7|27,curiosity|neutral,2,5,0,2,2,0,True,True
3628,bd508e60f8e7c653b489cfb27e58b7bffd0116ffd87caa75d1a91c23699bc34a,9|10|27,disappointment|disapproval|neutral,3,5,0,2,2,0,True,True
3641,17447f5e8051ab9c31f31ee58356255eaeffb5f601890f433d28aac846a2b4ef,1|27,amusement|neutral,2,5,0,2,2,0,True,True
3642,438e88cd4d05175586d6d9eb24a94231b9207cb498f0009d00b6fcfcd60d40c4,10|27,disapproval|neutral,2,4,0,2,2,0,True,True
3692,f761058b0e65bf683a3dbf4660a4058bee1de9dbee3beedb6a91ab33a779f62c,20|27,optimism|neutral,2,4,0,2,2,0,True,True
3725,af6d8325abfab79b2cddf1dde81ce75c5e0762f9595692e1ede300dd4d4a99bf,25|27,sadness|neutral,2,5,0,2,2,0,True,True
3767,73001356638f0e1b81c01b6796a068982a9d62e6debc05c02e6a8ff8e283b5ad,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
3780,7a5f230c4577458c915c5d431231af7ef600dbfcf1a50017feb68c8e115f7747,6|7|27,confusion|curiosity|neutral,3,5,0,2,2,0,True,True
3795,6bed09c79915c94f05db0eec70393ad6d92f4464d021ea0ef5796d5a18ce89d8,10|27,disapproval|neutral,2,5,0,2,2,0,True,True
3800,ed562ced809aa717229c24d2e2c290f2197dc070c8d117291a0097a23b5f2e95,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
3815,5a5b34bb3478037a8b9d533d13ed7b92cfa21f86addcc8b4b26e54b40e9582c2,11|27,disgust|neutral,2,5,0,2,2,0,True,True
3820,cf03e012437eae302a50fc67fc636407ffbbda30839fdc6d305c17e86b336505,6|7|27,confusion|curiosity|neutral,3,5,0,2,2,0,True,True
3838,304491ddfe265cd01736c78d6628126fdffe3fba5e781f6363e0f31fd18a7505,25|27,sadness|neutral,2,5,0,2,2,0,True,True
3944,8b539dbfd3de202930d0134872de613c2d00c72a86270708e7aca17ccf383aa7,7|27,curiosity|neutral,2,4,0,2,2,0,True,True
3951,f5274eb927938b3b221e98c198e44095f6b544c70c3de9d1a25ba777812dcd0d,6|27,confusion|neutral,2,4,0,2,2,0,True,True
3983,054f1cf6a5ba86d28b769ac582854cbe99c38092930dbb45cf02d8871b124389,26|27,surprise|neutral,2,5,0,2,2,0,True,True
3990,8b9dbd9648ab24f078feb81f79bf9ef8947831117cd5da99d7329cab401a2749,18|27,love|neutral,2,5,0,2,2,0,True,True
4005,db2dca37c457dd2b696dcc00f67eae06995520614316e2c8dc472987dd597593,23|27,relief|neutral,2,5,0,2,2,0,True,True
4027,708b3a7f2139df20d90e933fc6f1b4696913473c1ec961900e0eef618d830057,13|27,excitement|neutral,2,5,0,3,2,0,True,True
4031,f5beb1402cf2efc7bbac7a381de06e96dbd5b88eced90ed66eaed4306ff2dd61,2|27,anger|neutral,2,5,0,2,2,0,True,True
4081,96c4c2b9309178f63fbc0cede01cb774b6aa0c1cbff52dd20e5e4cf041a2a363,22|27,realization|neutral,2,5,0,2,2,0,True,True
4095,ae96548fdcdb1bb2b46036ed20aa5c343ae99cd81617aa7235a4897e76df457b,4|27,approval|neutral,2,5,0,2,2,0,True,True
4142,5a888b510dd34411be396a7ea444c68be7a42910fab02b6bb96d227c40282b32,7|27,curiosity|neutral,2,5,0,3,2,0,True,True
4149,f0edabf6639e7c168ce6a617ab060af72fb03e42a489479a2e49eda801f54ae2,6|7|27,confusion|curiosity|neutral,3,5,0,2,2,0,True,True
4200,8646949b9f37410ccab9a9a0e89d1a950cb28381c3a1e12b7e6e982466ced3b6,9|27,disappointment|neutral,2,5,0,2,2,0,True,True
4206,8040438846e8ce3ee9cae8a91547d1ad4d8b01f3ff2d49c1f21289fd44f46076,1|27,amusement|neutral,2,5,0,3,2,0,True,True
4231,2e8c54b77f3d720e611b34a6cde64fb5b3487840f042d48e8ae722c23972482b,20|27,optimism|neutral,2,5,0,2,2,0,True,True
4251,18b24c574ad1b2679ba367768628960ec6ff0b688d5f07a065fee40d4fd61e83,21|27,pride|neutral,2,5,0,2,2,0,True,True
4259,a35347fe0915abbfb1db6947f25a5146354c047863e72fdbeac6f61670891b50,7|27,curiosity|neutral,2,4,0,2,2,0,True,True
4285,9d3c43b360f2f55bd274e7b1c8c08ab053b5257a55c107f1c1ae4aa1887ecac6,4|27,approval|neutral,2,5,0,2,2,0,True,True
4543,f3470cb100b75580fb92158bb8a7dded38c483138caa62416c717d0853830c1a,1|27,amusement|neutral,2,5,0,2,3,0,True,True
4630,416fb22e38075e9c019a1d47f877eff46afcf9c58b84558fadb72b4c43cceb65,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
4774,c6db7308cf0fd28efd8fb6f8c7127e9b1c0d293a2fbd26c497e2aab224b7563f,25|27,sadness|neutral,2,5,0,2,2,0,True,True
4817,e0bb015dc708d131c0d03952f59c3a4d067238f57ddad7a341a76bc3bcfc8c5a,9|27,disappointment|neutral,2,5,0,2,2,0,True,True
4826,577e3b465aecccf04a1b6bbe9d2a34318639ba21c6f472218dcd2a1229312829,22|27,realization|neutral,2,5,0,3,2,0,True,True
4833,bc7bb352b1c656b74eeecfc8f0f400e2c791ad7e45d7b816e99750628f53d615,14|27,fear|neutral,2,5,0,2,3,0,True,True
4924,01b65612b9c7ddb1d0eee60f7c35862a42034d5230c7379286716b455e045d8a,1|27,amusement|neutral,2,5,1,2,2,0,True,True
4936,e0bb713d046937b6a60721112b8c6e1f8842884459d81c5be28905754ea8c7a0,5|27,caring|neutral,2,5,0,2,2,0,True,True
4960,aa794a783257f3acf7c85d92b8c744a7850f1be501df1bcf4d4faf15c16f969a,10|27,disapproval|neutral,2,5,0,3,2,0,True,True
4976,f757c2e71154691f31b95ae8d274435a2eb105188abe449a47e498a194a09649,13|27,excitement|neutral,2,5,0,2,2,0,True,True
4984,a8f404f478c0d53ed21549b723ebcde003878f1979b4bdfcc615c7cbeff6f05d,4|27,approval|neutral,2,5,0,2,2,0,True,True
5011,d8b0ed7d0549cabac8c01edbb39863c2b0c8744eb282bee6c168b90530dc7e02,4|27,approval|neutral,2,5,0,2,2,0,True,True
5081,331d28ca06a546a0658e6959558469b7e4a17cd21c50424450595811b3f25f62,2|27,anger|neutral,2,5,0,2,2,0,True,True
5098,d6aca3932c3f4d976411a1f88e6990cdb402c937686d7e9eedf4a285138846a5,0|15|27,admiration|gratitude|neutral,3,5,0,2,2,0,True,True
5107,8d49c2384f5d60be966212f1412747c1ca57d604f99c674d06f905fe615bd541,13|27,excitement|neutral,2,5,0,2,2,0,True,True
5199,afe08161a4a78aff8413ab22c475b4f9cdfb3a6b439a75fba167e70b4c9d5743,7|27,curiosity|neutral,2,5,0,3,2,0,True,True
5245,e2f2e3bf517249e9e4f44a829d7bc35c65e339e9acab3add92e4873e656e20f1,10|27,disapproval|neutral,2,5,0,2,2,0,True,True
5287,898ab36c5dd1addc17a91b084cf5ed35de587561b43f580ff9b7d9dfb721d7f3,4|20|27,approval|optimism|neutral,3,5,0,2,2,0,True,True
5314,ffc5f338463d2fcd61e2b6c8631e34edd9394d0a75da0e97ae63849dd9bb68b9,2|3|27,anger|annoyance|neutral,3,5,0,2,3,0,True,True
5339,0860996ecc577fb8b6ff7bf74a79f82e0bd2ee41c9412b4d46ce447d780948a7,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
5372,2ae133af7f62d7ca5543ffd7b716fd1ea0caf6df65c8bee91d3e2d97c82fa1d5,6|27,confusion|neutral,2,5,0,3,2,0,True,True
5377,8b1e0f75f29f51bd64ed179c89435dabb73896ce35d4ef2e16cc05f94721badd,3|27,annoyance|neutral,2,5,0,2,2,0,True,True
5383,5c9ffab639ff929c437192c7a73504a27fe60190b788c1a0faf58da630669dc5,5|27,caring|neutral,2,5,0,2,2,0,True,True
5426,b92dd29d100ccb5464f03d2b341610d3ddbb57df91e6d0ec84c92cc8d094b301,7|27,curiosity|neutral,2,5,0,2,3,0,True,True
5452,46b40559623c0164bb5e926f391d471c6b918bb6d0448fc6b6c0683e9c887c92,20|27,optimism|neutral,2,5,0,2,2,0,True,True
5459,298bfe95bf345e25bc1d053bde553250abac2af04d28fcc3ae816f45aecbcf2e,5|27,caring|neutral,2,5,0,2,2,0,True,True
5474,b07869a46452e692ac50e1a78ff9d929fbc876090d5a18822347b09df80ced8d,22|27,realization|neutral,2,5,0,2,3,0,True,True
5506,243b1d1b49311bdddf80cf25f1024fffab21884f9e28985ab07357b84de36f50,7|27,curiosity|neutral,2,5,0,2,2,0,True,True
5618,7f3f810cdfb40728128ae095359f9328a3446da30dd7fa1725f9526fe42497a6,17|27,joy|neutral,2,5,0,2,2,0,True,True
5625,0bfdc58b69f77441e3d128578482245f82386e41366dc0a670e1e7e75e992821,4|27,approval|neutral,2,5,0,2,2,0,True,True
5627,0591f91511039f1061b7e5a8a92b14b395342abb9b10203d8350ac61babfba65,7|27,curiosity|neutral,2,5,0,2,2,0,True,True
5658,d4e0f5c86bd9fefa57d9f529fdd568cdbc885540f56f45fb98edd900fd10f21c,10|27,disapproval|neutral,2,5,0,2,2,0,True,True
5700,1fccc27d01e70ff43a96082c112cb176fa08c034508ae926cdfa8aa1711baa54,7|27,curiosity|neutral,2,5,0,2,2,0,True,True
