sample_rank,role,row_id,gold_id,gold_label,selection_reason,exp007_correct_count,exp007_run_count,exp007_predictions,exp011_correct_count,exp011_run_count,exp011_predictions,exp014_correct_count,exp014_run_count,exp014_predictions,exp015_correct_count,exp015_run_count,exp015_predictions,exp015_mean_gold_probability,exp015_unanimous_prediction,exp015_mean_unanimous_probability,exp015_minus_exp014_gold_probability
33,shared_errors,1160,3,sadness,"EXP-007 wrong and all seeds wrong for EXP-011, EXP-014, and EXP-015; deterministic stratified sample",0,1,anger,0,3,anger|anger|joy,0,3,anger|joy|anger,0,3,joy|joy|joy,0.031976543056,joy,0.880495131016,-0.039784812990
34,shared_errors,1077,3,sadness,"EXP-007 wrong and all seeds wrong for EXP-011, EXP-014, and EXP-015; deterministic stratified sample",0,1,anger,0,3,joy|joy|joy,0,3,joy|joy|joy,0,3,joy|joy|joy,0.023348484809,joy,0.872582276662,-0.047003330663
35,ordinary_final_errors,696,0,anger,EXP-015 at most 1/3 correct; deterministic stratified sample after earlier roles,0,1,sadness,0,3,sadness|sadness|sadness,0,3,sadness|sadness|sadness,0,3,joy|sadness|sadness,0.052799010960,,,0.038038011019
36,ordinary_final_errors,829,0,anger,EXP-015 at most 1/3 correct; deterministic stratified sample after earlier roles,0,1,sadness,0,3,sadness|sadness|joy,1,3,joy|anger|joy,0,3,joy|joy|joy,0.110707261910,joy,0.733270665010,-0.091132697960
37,ordinary_final_errors,553,1,joy,EXP-015 at most 1/3 correct; deterministic stratified sample after earlier roles,1,1,joy,0,3,optimism|sadness|optimism,0,3,optimism|sadness|optimism,0,3,optimism|optimism|optimism,0.171417295933,optimism,0.697616855303,0.123586363470
38,ordinary_final_errors,384,1,joy,EXP-015 at most 1/3 correct; deterministic stratified sample after earlier roles,0,1,sadness,2,3,sadness|joy|joy,1,3,sadness|sadness|joy,0,3,sadness|sadness|sadness,0.142831263443,sadness,0.650228132804,-0.253986130158
39,ordinary_final_errors,496,2,optimism,EXP-015 at most 1/3 correct; deterministic stratified sample after earlier roles,0,1,anger,0,3,sadness|sadness|sadness,0,3,sadness|sadness|sadness,0,3,sadness|sadness|sadness,0.136079664032,sadness,0.670130312443,0.103632700630
40,ordinary_final_errors,145,2,optimism,EXP-015 at most 1/3 correct; deterministic stratified sample after earlier roles,0,1,joy,0,3,sadness|sadness|joy,0,3,sadness|anger|sadness,0,3,sadness|sadness|joy,0.029355420421,,,0.013930147514
41,ordinary_final_errors,834,3,sadness,EXP-015 at most 1/3 correct; deterministic stratified sample after earlier roles,1,1,sadness,3,3,sadness|sadness|sadness,3,3,sadness|sadness|sadness,1,3,anger|sadness|anger,0.389652243505,,,-0.375577835987
42,ordinary_final_errors,1086,3,sadness,EXP-015 at most 1/3 correct; deterministic stratified sample after earlier roles,1,1,sadness,3,3,sadness|sadness|sadness,3,3,sadness|sadness|sadness,0,3,optimism|optimism|optimism,0.153825181226,optimism,0.791885435581,-0.624190730353
