dimension,group,value,count,denominator,proportion
evidence_flag_by_role,ordinary_final_errors,mixed_emotion,4,8,0.500000000000
evidence_flag_by_role,ordinary_final_errors,negation,2,8,0.250000000000
evidence_flag_by_role,ordinary_final_errors,possible_context_dependency,4,8,0.500000000000
evidence_flag_by_role,ordinary_final_errors,sarcasm_or_irony,2,8,0.250000000000
evidence_flag_by_role,ordinary_final_errors,slang_or_noise,1,8,0.125000000000
primary_source_by_role,ordinary_final_errors,missing_context,2,8,0.250000000000
primary_source_by_role,ordinary_final_errors,model_or_representation_limit,3,8,0.375000000000
primary_source_by_role,ordinary_final_errors,ontology_overlap,3,8,0.375000000000
evidence_flag_by_role,shared_errors,annotation_ambiguity,4,8,0.500000000000
evidence_flag_by_role,shared_errors,implicit_emotion,1,8,0.125000000000
evidence_flag_by_role,shared_errors,lexical_cue_conflict,7,8,0.875000000000
evidence_flag_by_role,shared_errors,minority_class,2,8,0.250000000000
evidence_flag_by_role,shared_errors,mixed_emotion,6,8,0.750000000000
evidence_flag_by_role,shared_errors,negation,3,8,0.375000000000
evidence_flag_by_role,shared_errors,possible_context_dependency,4,8,0.500000000000
evidence_flag_by_role,shared_errors,sarcasm_or_irony,2,8,0.250000000000
evidence_flag_by_role,shared_errors,slang_or_noise,4,8,0.500000000000
primary_source_by_role,shared_errors,annotation_or_data_uncertainty,2,8,0.250000000000
primary_source_by_role,shared_errors,missing_context,1,8,0.125000000000
primary_source_by_role,shared_errors,model_or_representation_limit,2,8,0.250000000000
primary_source_by_role,shared_errors,ontology_overlap,2,8,0.250000000000
primary_source_by_role,shared_errors,surface_form_noise,1,8,0.125000000000
