comparison_id,before_condition,after_condition,gold_label,transition,row_count,stratum_count,rate
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,joy,stable_recovery,2,358,0.005586592179
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,joy,stable_regression,0,358,0.000000000000
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,joy,more_correct_seeds,33,358,0.092178770950
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,joy,fewer_correct_seeds,25,358,0.069832402235
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,joy,unchanged_correct_seed_count,298,358,0.832402234637
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,optimism,stable_recovery,0,123,0.000000000000
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,optimism,stable_regression,0,123,0.000000000000
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,optimism,more_correct_seeds,19,123,0.154471544715
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,optimism,fewer_correct_seeds,16,123,0.130081300813
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,optimism,unchanged_correct_seed_count,88,123,0.715447154472
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,sadness,stable_recovery,7,382,0.018324607330
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,sadness,stable_regression,7,382,0.018324607330
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,sadness,more_correct_seeds,30,382,0.078534031414
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,sadness,fewer_correct_seeds,31,382,0.081151832461
exp015_minus_exp014,exp-014-generic-roberta-label-smoothing,exp-015-twitter-roberta-label-smoothing,sadness,unchanged_correct_seed_count,307,382,0.803664921466
